station_id,node,name,operator,n_ports,latitude,longitude,source,ports_imputed,total_arrivals,total_started,total_completed,total_charging_minutes,total_queue_minutes,mean_queue,max_queue,utilisation,scenario
10001,32528269,synthetic_distributed_001,(synthetic),2,52.237234,21.0194193,synthetic_distributed,False,13,13,13,338,107,0.1486111111111111,3,0.23472222222222222,S3_distributed
10002,4908166135,synthetic_distributed_002,(synthetic),2,52.2219147,21.0286819,synthetic_distributed,False,2,2,2,53,0,0.0,0,0.03680555555555556,S3_distributed
10003,31158725,synthetic_distributed_003,(synthetic),2,52.2449828,21.0005122,synthetic_distributed,False,23,23,23,591,298,0.41388888888888886,4,0.41041666666666665,S3_distributed
10004,212881000,synthetic_distributed_004,(synthetic),2,52.2447495,20.9913335,synthetic_distributed,False,6,6,6,157,49,0.06805555555555555,2,0.10902777777777778,S3_distributed
10005,105757851,synthetic_distributed_005,(synthetic),2,52.2292919,21.0095932,synthetic_distributed,False,2,2,2,50,0,0.0,0,0.034722222222222224,S3_distributed
10006,33629023,synthetic_distributed_006,(synthetic),2,52.2217669,21.0373536,synthetic_distributed,False,9,9,9,232,12,0.016666666666666666,2,0.16111111111111112,S3_distributed
10007,248200300,synthetic_distributed_007,(synthetic),2,52.2377026,21.0095295,synthetic_distributed,False,18,18,18,476,172,0.2388888888888889,3,0.33055555555555555,S3_distributed
10008,2460257614,synthetic_distributed_008,(synthetic),2,52.2443131,21.0096663,synthetic_distributed,False,5,5,5,137,6,0.008333333333333333,1,0.09513888888888888,S3_distributed
10009,33213308,synthetic_distributed_009,(synthetic),2,52.2149085,21.0196232,synthetic_distributed,False,6,6,6,163,0,0.0,0,0.11319444444444444,S3_distributed
10010,282141419,synthetic_distributed_010,(synthetic),2,52.252725,21.0009389,synthetic_distributed,False,27,27,27,731,1285,1.7847222222222223,10,0.5076388888888889,S3_distributed
10011,1569797352,synthetic_distributed_011,(synthetic),1,52.2301952,21.0005421,synthetic_distributed,False,0,0,0,0,0,0.0,0,0.0,S3_distributed
10012,32591829,synthetic_distributed_012,(synthetic),1,52.2224436,21.0088107,synthetic_distributed,False,3,3,3,75,15,0.020833333333333332,1,0.10416666666666667,S3_distributed
10013,248564706,synthetic_distributed_013,(synthetic),1,52.2303392,21.0195008,synthetic_distributed,False,28,28,27,708,3679,5.1097222222222225,12,0.9833333333333333,S3_distributed
10014,224818803,synthetic_distributed_014,(synthetic),1,52.2451591,21.0180331,synthetic_distributed,False,13,13,13,338,429,0.5958333333333333,3,0.46944444444444444,S3_distributed
10015,6506160160,synthetic_distributed_015,(synthetic),1,52.2378825,21.0275126,synthetic_distributed,False,46,27,26,677,8283,11.504166666666666,20,0.9402777777777778,S3_distributed
